sale_date,productid,productname,quantity,price
7/4/1996,11,queso cabrales,12,21
7/4/1996,42,singaporean hokkien fried mee,10,14
7/4/1996,72,mozzarella di giovanni,5,34.8
7/5/1996,14,tofu,9,23.25
7/5/1996,51,manjimup dried apples,40,53
7/8/1996,41,jack's new england clam chowder,10,9.65
7/8/1996,51,manjimup dried apples,35,53
7/8/1996,65,louisiana fiery hot pepper sauce,15,21.05
7/8/1996,22,gustaf's knäckebröd,6,21
7/8/1996,57,ravioli angelo,15,19.5
7/8/1996,65,louisiana fiery hot pepper sauce,20,21.05
7/9/1996,20,sir rodney's marmalade,40,81
7/9/1996,33,geitost,25,2.5
7/9/1996,60,camembert pierrot,40,34
7/10/1996,31,gorgonzola telino,20,12.5
7/10/1996,39,chartreuse verte,42,18
7/10/1996,49,maxilaku,40,20
7/11/1996,24,guaraná fantástica,15,4.5
7/11/1996,55,pâté chinois,21,24
7/11/1996,74,longlife tofu,21,10
7/12/1996,2,chang,20,19
7/12/1996,16,pavlova,35,17.45
7/12/1996,36,inlagd sill,25,19
7/12/1996,59,raclette courdavault,30,55
7/15/1996,53,perth pasties,15,32.8
7/15/1996,77,original frankfurter grüne soße,12,13
7/16/1996,27,schoggi schokolade,25,43.9
7/16/1996,39,chartreuse verte,6,18
7/16/1996,77,original frankfurter grüne soße,15,13
7/17/1996,2,chang,50,19
7/17/1996,5,chef anton's gumbo mix,65,21.35
7/17/1996,32,mascarpone fabioli,6,32
7/18/1996,21,sir rodney's scones,10,10
7/18/1996,37,gravad lax,1,26
7/19/1996,41,jack's new england clam chowder,16,9.65
7/19/1996,57,ravioli angelo,50,19.5
7/19/1996,62,tarte au sucre,15,49.3
7/19/1996,70,outback lager,21,15
7/19/1996,21,sir rodney's scones,20,10
7/19/1996,35,steeleye stout,20,18
7/22/1996,5,chef anton's gumbo mix,12,21.35
7/22/1996,7,uncle bob's organic dried pears,15,30
7/22/1996,56,gnocchi di nonna alice,2,38
7/23/1996,16,pavlova,60,17.45
7/23/1996,24,guaraná fantástica,28,4.5
7/23/1996,30,nord-ost matjeshering,60,25.89
7/23/1996,74,longlife tofu,36,10
7/24/1996,2,chang,35,19
7/24/1996,41,jack's new england clam chowder,25,9.65
7/25/1996,17,alice mutton,30,39
7/25/1996,70,outback lager,20,15
7/26/1996,12,queso manchego la pastora,12,38
